date listing closed,year manufactured,num flight hours,est flight hours per year
2020-06-24,2015,27,5.4
2019-03-28,1985,3250,95.5882
2019-05-26,2006,2050,157.692
2018-11-27,1990,3843,137.25
2019-01-07,2006,1700,130.769
