Registration YearManufactured
101CY 1994
208GM 1994
1042  1999
116RR 1995
126LJ 1999
126TH 
12GV  1995
139TR 1999
1809  1999
213J  1998
2255F 1995
226CC 1996
24VF  1996
287E  1997
292DH 1999
29HS  1996
3021  
341R  1999
358R  1997
435AC 1998
545AC 1999
68PR  1999
749R  
797E  1995
80750 1998
80753 1998
82DD  1999
991MB 1997
1688  
32LD  2001
358AC 2003
412DH 2000
54FJ  2001
904R  2002
